task_id;property_id;booking_id;category;title;task_date;task_status;assigned_by;assigned_to;parent_task_id
tsk_00194;prop_20;book_0012;Cleaning;Check-out Cleaning;2026-01-09;Canceled;GRO_612;HKP_518;
tsk_00195;prop_20;book_0012;Laundry;Linen Management;2026-01-09;Approved;GRO_612;HKP_951;tsk_00194
tsk_00200;prop_61;book_0041;Cleaning;Check-out Cleaning;2026-01-09;Completed;GRO_831;HKP_599;
tsk_00201;prop_61;book_0041;Laundry;Linen Management;2026-01-09;Canceled;GRO_831;HKP_134;tsk_00200
tsk_00202;prop_61;book_0041;Reactive Maintenance;TV & Smart Entertainment Reset;2026-01-09;Completed;GRO_831;HKP_922;null
tsk_00224;prop_31;book_0075;Cleaning;Check-out Cleaning;2026-01-10;On Hold;GRO_390;HKP_188;
tsk_00225;prop_31;book_0075;Laundry;Linen Management;2026-01-10;Backlog;GRO_390;HKP_305;tsk_00224
tsk_00232;prop_3;book_0105;Cleaning;Check-out Cleaning;2026-01-10;Verified;GRO_831;HKP_627;
tsk_00233;prop_3;book_0105;Laundry;Linen Management;2026-01-10;Approved;GRO_831;HKP_627;tsk_00232
tsk_00240;prop_61;book_0156;Reactive Maintenance;Blinds & Curtains Urgent Repair;2026-01-10;Verified;GRO_254;HKP_134;null
tsk_00246;prop_15;book_0089;Cleaning;Check-out Cleaning;2026-01-11;Scheduled;GRO_390;MNT_683;
tsk_00247;prop_15;book_0089;Laundry;Linen Management;2026-01-11;Verified;GRO_390;HKP_339;tsk_00246
tsk_00253;prop_67;book_0104;Cleaning;Check-out Cleaning;2026-01-11;Invoiced;GRO_831;HKP_243;
tsk_00254;prop_67;book_0104;Laundry;Linen Management;2026-01-11;Canceled;GRO_831;HKP_922;tsk_00253
tsk_00265;prop_69;book_0130;Reactive Maintenance;Blinds & Curtains Urgent Repair;2026-01-11;Scheduled;GRO_254;HKP_243;null
tsk_00280;prop_35;book_0093;Cleaning;Check-out Cleaning;2026-01-12;Completed;GRO_831;HKP_305;
tsk_00281;prop_35;book_0093;Laundry;Linen Management;2026-01-12;On Hold;GRO_831;HKP_703;tsk_00280
tsk_00284;prop_1;book_0106;Reactive Maintenance;Emergency Lockout Resolution;2026-01-12;Invoiced;GRO_390;MNT_683;null
tsk_00289;prop_2;book_0116;Cleaning;Check-out Cleaning;2026-01-12;Canceled;GRO_831;HKP_627;
tsk_00290;prop_2;book_0116;Laundry;Linen Management;2026-01-12;Completed;GRO_831;HKP_865;tsk_00289
tsk_00298;prop_61;book_0156;Cleaning;Check-out Cleaning;2026-01-12;Scheduled;GRO_254;HKP_243;
tsk_00299;prop_61;book_0156;Laundry;Linen Management;2026-01-12;Scheduled;GRO_254;HKP_810;tsk_00298
tsk_00312;prop_66;book_0100;Cleaning;Check-out Cleaning;2026-01-13;Canceled;GRO_254;HKP_922;
tsk_00313;prop_66;book_0100;Laundry;Linen Management;2026-01-13;Canceled;GRO_254;MNT_157;tsk_00312
tsk_00314;prop_42;book_0107;Cleaning;Check-out Cleaning;2026-01-13;On Hold;GRO_254;HKP_640;
tsk_00315;prop_42;book_0107;Laundry;Linen Management;2026-01-13;Approved;GRO_254;MNT_904;tsk_00314
tsk_00324;prop_69;book_0130;Cleaning;Check-out Cleaning;2026-01-13;On Hold;GRO_254;HKP_134;
tsk_00325;prop_69;book_0130;Laundry;Linen Management;2026-01-13;On Hold;GRO_254;HKP_599;tsk_00324
tsk_00330;prop_40;book_0143;Cleaning;Check-out Cleaning;2026-01-13;Reported;GRO_831;HKP_219;
tsk_00331;prop_40;book_0143;Laundry;Linen Management;2026-01-13;Backlog;GRO_831;HKP_219;tsk_00330
tsk_00345;prop_15;book_0172;Reactive Maintenance;Emergency Lockout Resolution;2026-01-13;Backlog;GRO_612;HKP_865;null
tsk_00361;prop_1;book_0106;Cleaning;Check-out Cleaning;2026-01-14;Approved;GRO_390;HKP_518;
tsk_00362;prop_1;book_0106;Laundry;Linen Management;2026-01-14;In Progress;GRO_390;HKP_339;tsk_00361
tsk_00363;prop_43;book_0120;Cleaning;Check-out Cleaning;2026-01-14;Canceled;GRO_390;HKP_552;
tsk_00364;prop_43;book_0120;Laundry;Linen Management;2026-01-14;On Hold;GRO_390;HKP_877;tsk_00363
tsk_00387;prop_31;book_0169;Cleaning;Check-out Cleaning;2026-01-14;Completed;GRO_831;HKP_877;
tsk_00388;prop_31;book_0169;Laundry;Linen Management;2026-01-14;Verified;GRO_831;HKP_703;tsk_00387
tsk_00393;prop_20;null;Preventive Maintenance;Seasonal HVAC Filter Cleaning;2026-01-14;In Progress;MNG_482;MNT_421;null
tsk_00397;prop_65;book_0135;Cleaning;Check-out Cleaning;2026-01-15;In Progress;GRO_612;HKP_922;
tsk_00398;prop_65;book_0135;Laundry;Linen Management;2026-01-15;Invoiced;GRO_612;MNT_157;tsk_00397
tsk_00411;prop_15;book_0172;Cleaning;Check-out Cleaning;2026-01-15;Verified;GRO_612;HKP_102;
tsk_00412;prop_15;book_0172;Laundry;Linen Management;2026-01-15;Backlog;GRO_612;HKP_865;tsk_00411
tsk_00413;prop_35;book_0187;Cleaning;Check-out Cleaning;2026-01-15;Completed;GRO_831;HKP_703;
tsk_00414;prop_35;book_0187;Laundry;Linen Management;2026-01-15;Canceled;GRO_831;HKP_877;tsk_00413
tsk_00419;prop_42;book_0204;Cleaning;Check-out Cleaning;2026-01-15;Scheduled;GRO_390;HKP_552;
tsk_00420;prop_42;book_0204;Laundry;Linen Management;2026-01-15;Approved;GRO_390;HKP_877;tsk_00419
tsk_00425;prop_43;null;Preventive Maintenance;Furniture & Joinery Tightening;2026-01-15;Approved;MNG_482;HKP_703;null
tsk_00426;prop_43;null;Preventive Maintenance;Wall Paint & Baseboard Touch-up;2026-01-15;Verified;MNG_482;HKP_877;null
tsk_00440;prop_61;book_0189;Cleaning;Check-out Cleaning;2026-01-16;Completed;GRO_831;HKP_466;
tsk_00441;prop_61;book_0189;Laundry;Linen Management;2026-01-16;Scheduled;GRO_831;MNT_157;tsk_00440
tsk_00442;prop_2;book_0191;Reactive Maintenance;Wi-Fi & Network Connectivity Restore;2026-01-16;Canceled;GRO_254;HKP_102;null
tsk_00459;prop_1;book_0228;Cleaning;Check-out Cleaning;2026-01-16;Canceled;GRO_831;HKP_416;
tsk_00460;prop_1;book_0228;Laundry;Linen Management;2026-01-16;On Hold;GRO_831;HKP_744;tsk_00459
tsk_00461;prop_31;book_0230;Cleaning;Check-out Cleaning;2026-01-16;In Progress;GRO_612;HKP_640;
tsk_00462;prop_31;book_0230;Laundry;Linen Management;2026-01-16;Canceled;GRO_612;HKP_703;tsk_00461
tsk_00468;prop_20;book_0149;Cleaning;Check-out Cleaning;2026-01-17;Completed;GRO_831;HKP_339;
tsk_00469;prop_20;book_0149;Laundry;Linen Management;2026-01-17;Invoiced;GRO_831;HKP_293;tsk_00468
tsk_00474;prop_3;book_0166;Cleaning;Check-out Cleaning;2026-01-17;Completed;GRO_831;HKP_627;
tsk_00475;prop_3;book_0166;Laundry;Linen Management;2026-01-17;Canceled;GRO_831;MNT_683;tsk_00474
tsk_00486;prop_2;book_0191;Cleaning;Check-out Cleaning;2026-01-17;Approved;GRO_254;HKP_518;
tsk_00487;prop_2;book_0191;Laundry;Linen Management;2026-01-17;Reported;GRO_254;HKP_102;tsk_00486
tsk_00490;prop_66;book_0198;Cleaning;Check-out Cleaning;2026-01-17;Verified;GRO_612;HKP_922;
tsk_00491;prop_66;book_0198;Laundry;Linen Management;2026-01-17;In Progress;GRO_612;HKP_810;tsk_00490
tsk_00502;prop_35;book_0241;Cleaning;Check-out Cleaning;2026-01-17;Completed;GRO_831;MNT_904;
tsk_00503;prop_35;book_0241;Laundry;Linen Management;2026-01-17;Canceled;GRO_831;HKP_305;tsk_00502
tsk_00507;prop_61;null;Preventive Maintenance;Battery Replacement Cycle;2026-01-17;Invoiced;MNG_482;HKP_781;null
tsk_00520;prop_69;book_0211;Cleaning;Check-out Cleaning;2026-01-18;Approved;GRO_254;HKP_243;
tsk_00521;prop_69;book_0211;Laundry;Linen Management;2026-01-18;Invoiced;GRO_254;MNT_157;tsk_00520
tsk_00544;prop_67;book_0174;Cleaning;Check-out Cleaning;2026-01-19;Scheduled;GRO_254;HKP_599;
tsk_00545;prop_67;book_0174;Laundry;Linen Management;2026-01-19;Canceled;GRO_254;MNT_157;tsk_00544
tsk_00552;prop_43;book_0219;Cleaning;Check-out Cleaning;2026-01-19;In Progress;GRO_831;MNT_904;
tsk_00553;prop_43;book_0219;Laundry;Linen Management;2026-01-19;Completed;GRO_831;HKP_219;tsk_00552
tsk_00563;prop_1;book_0254;Cleaning;Check-out Cleaning;2026-01-19;Completed;GRO_254;HKP_627;
tsk_00564;prop_1;book_0254;Laundry;Linen Management;2026-01-19;Invoiced;GRO_254;HKP_518;tsk_00563
tsk_00571;prop_31;null;Preventive Maintenance;Battery Replacement Cycle;2026-01-19;Approved;MNG_482;HKP_219;null
tsk_00573;prop_65;null;Preventive Maintenance;Wall Paint & Baseboard Touch-up;2026-01-19;Scheduled;MNG_482;HKP_134;null
tsk_00578;prop_40;book_0216;Cleaning;Check-out Cleaning;2026-01-20;Completed;GRO_612;HKP_640;
tsk_00579;prop_40;book_0216;Laundry;Linen Management;2026-01-20;In Progress;GRO_612;HKP_552;tsk_00578
tsk_00594;prop_20;book_0265;Cleaning;Check-out Cleaning;2026-01-20;Invoiced;GRO_831;HKP_951;
tsk_00595;prop_20;book_0265;Laundry;Linen Management;2026-01-20;In Progress;GRO_831;HKP_102;tsk_00594
tsk_00598;prop_3;null;Preventive Maintenance;Window & Balcony Safety Audit;2026-01-20;Completed;MNG_482;HKP_518;null
tsk_00608;prop_61;book_0257;Cleaning;Check-out Cleaning;2026-01-21;Approved;GRO_831;MNT_157;
tsk_00609;prop_61;book_0257;Laundry;Linen Management;2026-01-21;Canceled;GRO_831;MNT_157;tsk_00608
tsk_00627;prop_65;book_0234;Cleaning;Check-out Cleaning;2026-01-22;Invoiced;GRO_254;HKP_781;
tsk_00628;prop_65;book_0234;Laundry;Linen Management;2026-01-22;In Progress;GRO_254;HKP_134;tsk_00627
tsk_00651;prop_67;book_0301;Cleaning;Check-out Cleaning;2026-01-22;Canceled;GRO_254;HKP_466;
tsk_00652;prop_67;book_0301;Laundry;Linen Management;2026-01-22;Canceled;GRO_254;HKP_466;tsk_00651
tsk_00656;prop_15;book_0235;Cleaning;Check-out Cleaning;2026-01-23;Approved;GRO_831;HKP_416;
tsk_00657;prop_15;book_0235;Laundry;Linen Management;2026-01-23;Scheduled;GRO_831;HKP_627;tsk_00656
tsk_00658;prop_42;book_0240;Cleaning;Check-out Cleaning;2026-01-23;Approved;GRO_390;HKP_703;
tsk_00659;prop_42;book_0240;Laundry;Linen Management;2026-01-23;In Progress;GRO_390;HKP_552;tsk_00658
tsk_00662;prop_35;book_0271;Cleaning;Check-out Cleaning;2026-01-23;Reported;GRO_831;HKP_640;
tsk_00663;prop_35;book_0271;Laundry;Linen Management;2026-01-23;In Progress;GRO_831;HKP_305;tsk_00662
tsk_00678;prop_43;book_0298;Cleaning;Check-out Cleaning;2026-01-23;Backlog;GRO_390;HKP_188;
tsk_00679;prop_43;book_0298;Laundry;Linen Management;2026-01-23;Invoiced;GRO_390;HKP_703;tsk_00678
tsk_00686;prop_2;null;Preventive Maintenance;Silicon Seal Integrity Check;2026-01-23;On Hold;MNG_482;HKP_627;null
tsk_00690;prop_31;book_0260;Cleaning;Check-out Cleaning;2026-01-24;Scheduled;GRO_612;MNT_904;
tsk_00691;prop_31;book_0260;Laundry;Linen Management;2026-01-24;Canceled;GRO_612;HKP_219;tsk_00690
tsk_00694;prop_66;book_0264;Cleaning;Check-out Cleaning;2026-01-24;Reported;GRO_612;HKP_243;
tsk_00695;prop_66;book_0264;Laundry;Linen Management;2026-01-24;Approved;GRO_612;HKP_599;tsk_00694
tsk_00708;prop_2;book_0275;Cleaning;Check-out Cleaning;2026-01-24;Verified;GRO_390;HKP_416;
tsk_00709;prop_2;book_0275;Laundry;Linen Management;2026-01-24;In Progress;GRO_390;HKP_744;tsk_00708
tsk_00710;prop_69;book_0294;Cleaning;Check-out Cleaning;2026-01-24;Verified;GRO_612;HKP_134;
tsk_00711;prop_69;book_0294;Laundry;Linen Management;2026-01-24;Scheduled;GRO_612;MNT_157;tsk_00710
tsk_00725;prop_42;book_0351;Reactive Maintenance;Minor Plumbing Unclogging;2026-01-24;Invoiced;GRO_254;HKP_703;null
tsk_00729;prop_3;book_0269;Cleaning;Check-out Cleaning;2026-01-25;Completed;GRO_612;HKP_627;
tsk_00730;prop_3;book_0269;Laundry;Linen Management;2026-01-25;Canceled;GRO_612;HKP_293;tsk_00729
tsk_00742;prop_1;book_0303;Cleaning;Check-out Cleaning;2026-01-25;Approved;GRO_612;HKP_951;
tsk_00743;prop_1;book_0303;Laundry;Linen Management;2026-01-25;Scheduled;GRO_612;HKP_416;tsk_00742
tsk_00746;prop_20;book_0309;Cleaning;Check-out Cleaning;2026-01-25;Canceled;GRO_254;HKP_951;
tsk_00747;prop_20;book_0309;Laundry;Linen Management;2026-01-25;Scheduled;GRO_254;HKP_293;tsk_00746
tsk_00773;prop_35;book_0352;Cleaning;Check-out Cleaning;2026-01-25;Invoiced;GRO_831;HKP_305;
tsk_00774;prop_35;book_0352;Laundry;Linen Management;2026-01-25;In Progress;GRO_831;HKP_219;tsk_00773
tsk_00775;prop_35;null;Preventive Maintenance;Silicon Seal Integrity Check;2026-01-25;In Progress;MNG_482;MNT_904;null
tsk_00791;prop_40;book_0318;Reactive Maintenance;Pest Control First Response;2026-01-26;On Hold;GRO_254;MNT_904;null
tsk_00797;prop_61;book_0325;Cleaning;Check-out Cleaning;2026-01-26;Approved;GRO_831;HKP_466;
tsk_00798;prop_61;book_0325;Laundry;Linen Management;2026-01-26;Canceled;GRO_831;HKP_599;tsk_00797
tsk_00803;prop_42;book_0351;Cleaning;Check-out Cleaning;2026-01-26;Verified;GRO_254;HKP_703;
tsk_00804;prop_42;book_0351;Laundry;Linen Management;2026-01-26;Invoiced;GRO_254;HKP_188;tsk_00803
tsk_00809;prop_31;book_0366;Cleaning;Check-out Cleaning;2026-01-26;Verified;GRO_831;HKP_552;
tsk_00810;prop_31;book_0366;Laundry;Linen Management;2026-01-26;Scheduled;GRO_831;HKP_640;tsk_00809
tsk_00811;prop_15;null;Preventive Maintenance;Wall Paint & Baseboard Touch-up;2026-01-26;Reported;MNG_482;MNT_421;null
tsk_00812;prop_15;null;Preventive Maintenance;Radiator Bleeding & Pressure Check;2026-01-26;Verified;MNG_482;HKP_951;null
tsk_00840;prop_40;book_0318;Cleaning;Check-out Cleaning;2026-01-28;Canceled;GRO_254;HKP_552;
tsk_00841;prop_40;book_0318;Laundry;Linen Management;2026-01-28;Invoiced;GRO_254;HKP_305;tsk_00840
tsk_00851;prop_66;book_0355;Cleaning;Check-out Cleaning;2026-01-28;Verified;GRO_612;HKP_922;
tsk_00852;prop_66;book_0355;Laundry;Linen Management;2026-01-28;Scheduled;GRO_612;HKP_922;tsk_00851
tsk_00859;prop_20;book_0377;Cleaning;Check-out Cleaning;2026-01-28;In Progress;GRO_831;HKP_744;
tsk_00860;prop_20;book_0377;Laundry;Linen Management;2026-01-28;Approved;GRO_831;HKP_293;tsk_00859
tsk_00863;prop_35;book_0384;Reactive Maintenance;Blinds & Curtains Urgent Repair;2026-01-28;Canceled;GRO_254;HKP_305;null
tsk_00872;prop_67;null;Preventive Maintenance;Safety Equipment Inspection;2026-01-28;On Hold;MNG_482;HKP_134;null
tsk_00873;prop_65;book_0331;Cleaning;Check-out Cleaning;2026-01-29;Canceled;GRO_612;HKP_922;
tsk_00874;prop_65;book_0331;Laundry;Linen Management;2026-01-29;On Hold;GRO_612;HKP_810;tsk_00873
tsk_00878;prop_43;book_0343;Reactive Maintenance;Wi-Fi & Network Connectivity Restore;2026-01-29;Approved;GRO_254;HKP_188;null
tsk_00885;prop_35;book_0384;Cleaning;Check-out Cleaning;2026-01-29;Canceled;GRO_254;MNT_904;
tsk_00886;prop_35;book_0384;Laundry;Linen Management;2026-01-29;Scheduled;GRO_254;HKP_219;tsk_00885
tsk_00891;prop_67;book_0332;Cleaning;Check-out Cleaning;2026-01-30;On Hold;GRO_390;HKP_134;
tsk_00892;prop_67;book_0332;Laundry;Linen Management;2026-01-30;Backlog;GRO_390;MNT_157;tsk_00891
tsk_00895;prop_43;book_0343;Cleaning;Check-out Cleaning;2026-01-30;Reported;GRO_254;HKP_703;
tsk_00896;prop_43;book_0343;Laundry;Linen Management;2026-01-30;Scheduled;GRO_254;HKP_188;tsk_00895
tsk_00905;prop_69;book_0365;Cleaning;Check-out Cleaning;2026-01-30;Backlog;GRO_612;HKP_243;
tsk_00906;prop_69;book_0365;Laundry;Linen Management;2026-01-30;Invoiced;GRO_612;MNT_157;tsk_00905
tsk_00907;prop_69;book_0365;Reactive Maintenance;Water Leak Troubleshooting;2026-01-30;Invoiced;GRO_612;HKP_781;null
tsk_00920;prop_31;book_0404;Cleaning;Check-out Cleaning;2026-01-30;Canceled;GRO_390;HKP_188;
tsk_00921;prop_31;book_0404;Laundry;Linen Management;2026-01-30;On Hold;GRO_390;HKP_552;tsk_00920
tsk_00924;prop_40;book_0425;Cleaning;Check-out Cleaning;2026-01-30;In Progress;GRO_612;HKP_552;
tsk_00925;prop_40;book_0425;Laundry;Linen Management;2026-01-30;Verified;GRO_612;HKP_877;tsk_00924
tsk_00926;prop_15;book_0344;Cleaning;Check-out Cleaning;2026-01-31;Canceled;GRO_254;HKP_416;
tsk_00927;prop_15;book_0344;Laundry;Linen Management;2026-01-31;Canceled;GRO_254;HKP_293;tsk_00926
tsk_00934;prop_2;book_0369;Cleaning;Check-out Cleaning;2026-01-31;On Hold;GRO_612;HKP_865;
tsk_00935;prop_2;book_0369;Laundry;Linen Management;2026-01-31;In Progress;GRO_612;HKP_416;tsk_00934
tsk_00952;prop_66;book_0415;Cleaning;Check-out Cleaning;2026-01-31;Reported;GRO_390;HKP_134;
tsk_00953;prop_66;book_0415;Laundry;Linen Management;2026-01-31;On Hold;GRO_390;HKP_599;tsk_00952
tsk_00954;prop_66;book_0415;Reactive Maintenance;Emergency Lockout Resolution;2026-01-31;Verified;GRO_390;HKP_134;null
tsk_00957;prop_65;book_0428;Reactive Maintenance;Blinds & Curtains Urgent Repair;2026-01-31;Scheduled;GRO_612;HKP_466;null
tsk_00962;prop_3;book_0381;Cleaning;Check-out Cleaning;2026-02-01;Verified;GRO_831;HKP_339;
tsk_00963;prop_3;book_0381;Laundry;Linen Management;2026-02-01;Completed;GRO_831;HKP_865;tsk_00962
tsk_00964;prop_1;book_0383;Cleaning;Check-out Cleaning;2026-02-01;Scheduled;GRO_390;HKP_102;
tsk_00965;prop_1;book_0383;Laundry;Linen Management;2026-02-01;Backlog;GRO_390;HKP_627;tsk_00964
tsk_00989;prop_15;book_0456;Reactive Maintenance;Bulb & Fuse Replacement;2026-02-01;Reported;GRO_254;HKP_951;null
tsk_00991;prop_15;null;Preventive Maintenance;Window & Balcony Safety Audit;2026-02-01;Verified;MNG_482;HKP_102;null
tsk_01001;prop_42;book_0397;Cleaning;Check-out Cleaning;2026-02-02;In Progress;GRO_612;HKP_877;
tsk_01002;prop_42;book_0397;Laundry;Linen Management;2026-02-02;Canceled;GRO_612;HKP_188;tsk_01001
tsk_01010;prop_35;book_0430;Cleaning;Check-out Cleaning;2026-02-02;Canceled;GRO_831;HKP_877;
tsk_01011;prop_35;book_0430;Laundry;Linen Management;2026-02-02;Invoiced;GRO_831;HKP_877;tsk_01010
tsk_01012;prop_35;book_0430;Reactive Maintenance;Minor Plumbing Unclogging;2026-02-02;Reported;GRO_831;HKP_305;null
tsk_01015;prop_43;book_0436;Reactive Maintenance;Minor Plumbing Unclogging;2026-02-02;On Hold;GRO_831;MNT_904;null
tsk_01024;prop_15;book_0456;Cleaning;Check-out Cleaning;2026-02-02;Verified;GRO_254;HKP_951;
tsk_01025;prop_15;book_0456;Laundry;Linen Management;2026-02-02;Reported;GRO_254;HKP_518;tsk_01024
tsk_01031;prop_61;book_0399;Cleaning;Check-out Cleaning;2026-02-03;Backlog;GRO_390;HKP_134;
tsk_01032;prop_61;book_0399;Laundry;Linen Management;2026-02-03;Scheduled;GRO_390;HKP_922;tsk_01031
tsk_01037;prop_20;book_0416;Cleaning;Check-out Cleaning;2026-02-03;Completed;GRO_390;HKP_102;
tsk_01038;prop_20;book_0416;Laundry;Linen Management;2026-02-03;Completed;GRO_390;HKP_627;tsk_01037
tsk_01041;prop_65;book_0428;Cleaning;Check-out Cleaning;2026-02-03;Scheduled;GRO_612;HKP_922;
tsk_01042;prop_65;book_0428;Laundry;Linen Management;2026-02-03;Completed;GRO_612;HKP_134;tsk_01041
tsk_01052;prop_67;book_0444;Cleaning;Check-out Cleaning;2026-02-03;Reported;GRO_612;HKP_134;
tsk_01053;prop_67;book_0444;Laundry;Linen Management;2026-02-03;Canceled;GRO_612;HKP_134;tsk_01052
tsk_01054;prop_31;book_0448;Cleaning;Check-out Cleaning;2026-02-03;Completed;GRO_254;HKP_219;
tsk_01055;prop_31;book_0448;Laundry;Linen Management;2026-02-03;Verified;GRO_254;HKP_703;tsk_01054
tsk_01056;prop_66;book_0454;Reactive Maintenance;Emergency Lockout Resolution;2026-02-03;Scheduled;GRO_831;HKP_781;null
tsk_01063;prop_31;null;Preventive Maintenance;Radiator Bleeding & Pressure Check;2026-02-03;Canceled;MNG_482;HKP_640;null
tsk_01070;prop_43;book_0436;Cleaning;Check-out Cleaning;2026-02-04;On Hold;GRO_831;MNT_904;
tsk_01071;prop_43;book_0436;Laundry;Linen Management;2026-02-04;Approved;GRO_831;HKP_877;tsk_01070
tsk_01090;prop_40;null;Preventive Maintenance;Radiator Bleeding & Pressure Check;2026-02-04;Approved;MNG_482;HKP_703;null
tsk_01092;prop_43;null;Preventive Maintenance;Radiator Bleeding & Pressure Check;2026-02-04;Completed;MNG_482;HKP_305;null
tsk_01107;prop_40;book_0450;Cleaning;Check-out Cleaning;2026-02-05;On Hold;GRO_831;MNT_904;
tsk_01108;prop_40;book_0450;Laundry;Linen Management;2026-02-05;Completed;GRO_831;HKP_640;tsk_01107
tsk_01109;prop_40;book_0450;Reactive Maintenance;Pest Control First Response;2026-02-05;Scheduled;GRO_831;HKP_552;null
tsk_01113;prop_2;book_0464;Cleaning;Check-out Cleaning;2026-02-05;Scheduled;GRO_390;HKP_416;
tsk_01114;prop_2;book_0464;Laundry;Linen Management;2026-02-05;Approved;GRO_390;HKP_102;tsk_01113
tsk_01115;prop_3;book_0469;Cleaning;Check-out Cleaning;2026-02-05;Scheduled;GRO_831;HKP_416;
tsk_01116;prop_3;book_0469;Laundry;Linen Management;2026-02-05;Backlog;GRO_831;HKP_416;tsk_01115
